GameNo,Date,MatchResult,ChampionName,Lane,Kills,Deaths,Assists,Damage,CS,Gold
1,2021-05-22 22:15:53,Won,Akali,TOP,21,3,3,33348,186,15258
2,2021-05-22 02:21:04,Won,Akali,TOP,10,4,6,22131,160,12985
3,2021-05-22 01:07:24,Won,Akali,TOP,5,4,3,11630,114,8306
4,2021-05-21 01:24:20,Won,Riven,TOP,1,5,3,7764,124,7602
5,2021-05-21 00:54:52,Won,Akali,TOP,1,6,2,8931,128,6530
6,2021-05-21 00:18:02,Won,Kai'Sa,BOTTOM,13,7,12,16778,97,11913
7,2021-05-20 23:52:29,Won,Akali,NONE,3,0,2,9928,114,6343
8,2021-05-19 04:12:44,Lost,Nautilus,BOTTOM,1,10,12,9107,36,8057
9,2021-05-19 03:27:40,Won,Akali,TOP,16,4,8,40074,211,17531
10,2021-05-19 01:04:14,Lost,Riven,TOP,6,14,11,25248,228,16538
